name,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,nonlinearLeftShear_0_lengthRatio,nonlinearLeftShear_0_stiffnessRatio,nonlinearLeftShear_1_lengthRatio,nonlinearLeftShear_1_stiffnessRatio,nonlinearLeftShear_2_lengthRatio,nonlinearLeftShear_2_stiffnessRatio,nonlinearLeftShear_3_lengthRatio,nonlinearLeftShear_3_stiffnessRatio,nonlinearRightShear_0_lengthRatio,nonlinearRightShear_0_stiffnessRatio,nonlinearRightShear_1_lengthRatio,nonlinearRightShear_1_stiffnessRatio,nonlinearRightShear_2_lengthRatio,nonlinearRightShear_2_stiffnessRatio,nonlinearRightShear_3_lengthRatio,nonlinearRightShear_3_stiffnessRatio,nonlinearStretchWarp_0_lengthRatio,nonlinearStretchWarp_0_stiffnessRatio,nonlinearStretchWarp_1_lengthRatio,nonlinearStretchWarp_1_stiffnessRatio,nonlinearStretchWarp_2_lengthRatio,nonlinearStretchWarp_2_stiffnessRatio,nonlinearStretchWarp_3_lengthRatio,nonlinearStretchWarp_3_stiffnessRatio,nonlinearStretchWeft_0_lengthRatio,nonlinearStretchWeft_0_stiffnessRatio,nonlinearStretchWeft_1_lengthRatio,nonlinearStretchWeft_1_stiffnessRatio,nonlinearStretchWeft_2_lengthRatio,nonlinearStretchWeft_2_stiffnessRatio,nonlinearStretchWeft_3_lengthRatio,nonlinearStretchWeft_3_stiffnessRatio,rightShear,stretchWarp,stretchWeft,thickness
V1_Non-Fabric_Trim_Hardware_2669,47123.890625,47123.890625,47123.890625,47123.890625,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.9900000095367432,0.9900000095367432,0.9900000095367432,0.9900000095367432,300.0,0.029999999329447746,9.999999747378752e-05,640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640000.0,320000.0,320000.0,0.5
V2_Animal_Alternatives_VeganSuede_1_2697,3379.283447265625,3379.283447265625,5040.9091796875,19415.228515625,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,304.0,0.029999999329447746,9.999999747378752e-05,65445.55078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65445.55078125,74865.0,82164.46875,0.5
V2_Cut_Sew_Knit_QuiltedKnit_3_2735,7956.6337890625,7956.6337890625,21606.81640625,17799.318359375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,1.0,1.0,1.0,1.0,392.0,0.029999999329447746,9.999999747378752e-05,20338.71484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20834.98046875,41998.0625,54650.31640625,0.5
V2_Woven_Crepe_CDC_2_2775,1814.574462890625,1814.574462890625,3287.03515625,1551.4473876953125,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.4908064305782318,0.4908064305782318,0.4926215410232544,0.4774773120880127,140.0,0.029999999329447746,9.999999747378752e-05,7257.751953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7752.07470703125,66611.40625,33305.62109375,0.5
V1_Woven_Silk_Taffeta_2811,6132.92724609375,6132.92724609375,961.7340698242188,30676.623046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7676773071289,0.029999999329447746,9.999999747378752e-05,368272.3125,1.0,0.9993682503700256,1.016664981842041,1.0258166790008545,1.0570850372314453,1.0258166790008545,1.0893349647521973,1.1516155004501343,1.0,0.9993682503700256,1.016664981842041,1.0258166790008545,1.0570850372314453,1.0258166790008545,1.0893349647521973,1.1516155004501343,1.0,0.4431169927120209,1.0028350353240967,3.8036327362060547,1.0070799589157104,4.443305969238281,1.0093300342559814,4.443305969238281,1.0,1.0,1.0011299848556519,1.0,1.0028749704360962,1.0,1.0051450729370117,1.0,368272.3125,225057.65625,1000000.0,0.1599999964237213
V2_Cut_Sew_Knit_Tricot_1_2845,1213.6602783203125,1213.6602783203125,1596.9866943359375,2446.73046875,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.5361955165863037,0.5361955165863037,0.5310631990432739,0.5671069622039795,180.0,0.029999999329447746,9.999999747378752e-05,13669.59765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15659.14453125,22976.6796875,19660.73828125,0.5
V2_Cut_Sew_Knit_Tricot_2_2887,440.15435791015625,440.15435791015625,166.1257781982422,1398.1114501953125,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.2823648154735565,0.2823648154735565,0.34646737575531006,0.2802872955799103,57.0,0.029999999329447746,9.999999747378752e-05,7646.97802734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7646.97802734375,8054.52978515625,11354.4921875,0.5
V2_Woven_Jacquard_Brocade_3_2927,15121.296875,15121.296875,38885.4921875,19875.33203125,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25148484110832214,0.25148484110832214,0.25097206234931946,0.2521817088127136,296.0,0.029999999329447746,9.999999747378752e-05,19800.90625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19428.765625,121563.3125,88454.4765625,0.5
V2_Cut_Sew_Knit_JacquardKnit_1_2967,3640.384033203125,3640.384033203125,15860.4462890625,3467.433837890625,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,1.0,1.0,1.0,1.0,268.0,0.029999999329447746,9.999999747378752e-05,15082.1064453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15652.8447265625,38083.05859375,20381.4296875,0.5
V2_Woven_Dewspo_2_3009,3869.540771484375,3869.540771484375,1546.9110107421875,6192.18505859375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,52.0,0.029999999329447746,9.999999747378752e-05,13477.7861328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21203.54296875,79576.703125,104000.0,0.5
(Default_for_Simulation)_3041,6283.185546875,6283.185546875,6283.185546875,6283.185546875,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,300.0,0.029999999329447746,9.999999747378752e-05,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,100000.0,100000.0,0.5
V2_Woven_TRS_2_3071,7458.2060546875,7458.2060546875,17183.65625,7857.04931640625,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,256.0,0.029999999329447746,9.999999747378752e-05,30440.46484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943.91796875,161666.578125,161111.921875,0.5
