ITEM#,Resource,WEIGHT (G/SM),Cuttable Width(inch),Fabric  Category,Fabric Type,FABRIC CONTENT 1,FABRIC CONTENT 2,FABRIC CONTENT 3,FABRIC CONTENT 4,FABRIC CONTENT 5,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,rightShear,stretchWarp,stretchWeft,thickness
7440,KTTA & KOTITI,244,,woven,,"wool 58%, ","polyester 21%, ","cotton 19%,",ME 2%,,,,,,,,,,,,,,,,,,,,,
7441,KTTA & KOTITI,265,,knit,,,,,,,,,,,,,,,,,,,,,,,,,,
7442,KTTA & KOTITI,316,,knit,,"polyester 78%, ","viscose 16%, ",EL 6%,,,,,,,,,,,,,,,,,,,,,,
34238,KTTA & KOTITI,215,,woven,,"viscose 53%,",cotton 47%,,,,,,,,,,,,,,,,,,,,,,,
160135,KTTA & KOTITI,121,,woven,,"polyester 82%,",polyamide 18%,,,,,,,,,,,,,,,,,,,,,,,
518221,KTTA & KOTITI,162,,woven,,"cotton 60%,",polyamide 40%,,,,,,,,,,,,,,,,,,,,,,,
578244,KTTA & KOTITI,326,,knit,,"PC 68%, ",polyester 32%,,,,,,,,,,,,,,,,,,,,,,,
618260,KTTA & KOTITI,388,,woven,,"polyester 69%,"," ME 25%,",PC 6%,,,,,,,,,,,,,,,,,,,,,,
627708,KTTA & KOTITI,206,,woven,,"cotton 62%, ",polyester 38%,,,,,,,,,,,,,,,,,,,,,,,
678122,KTTA & KOTITI,278,,knit,,"Modal97%,",EL 3%,,,,,,,,,,,,,,,,,,,,,,,
6877-1,KTTA & KOTITI,280,,Woven,,"polyester 94%,",EL 6%,,,,,,,,,,,,,,,,,,,,,,,
6984-2,KTTA & KOTITI,54,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
6985-1,KTTA & KOTITI,292,,woven,,"CTA 56%, ",polyester 44%,,,,,,,,,,,,,,,,,,,,,,,
6994-2,KTTA & KOTITI,195,,knit,,"polyester 48%,"," polyamide 45%, ",EL 6%,,,,,,,,,,,,,,,,,,,,,,
